Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BbAvH;BbAvD;BbAvA;BbAv>2.5;BbAv<2.5;BbAvAHH;BbAvAHA
SP1;28/10/2007;Murcia;Recreativo;1;0;H;0;0;D;9;8;1;2;16;20;3;6;3;3;0;0;23;325;31;217;317;32;212;164;;
SP1;28/10/2007;Osasuna;Valladolid;2;2;D;0;1;A;12;13;3;4;22;18;5;5;4;3;1;0;18;36;42;179;332;434;199;175;;
SP1;28/10/2007;Santander;Getafe;2;0;H;1;0;H;16;14;5;2;22;13;1;7;2;1;0;0;21;325;36;203;318;355;215;162;;
SP1;28/10/2007;Sevilla;Valencia;3;0;H;1;0;H;18;2;5;0;18;23;6;2;3;6;0;0;23;325;31;221;316;312;195;18;;
SP1;28/10/2007;Zaragoza;Villarreal;4;1;H;1;0;H;15;11;6;4;23;5;3;5;2;0;1;0;24;33;287;236;316;286;198;177;;
SP1;31/10/2007;Almeria;Zaragoza;0;1;A;0;0;D;19;14;6;4;10;12;10;5;1;4;0;0;27;33;26;263;315;255;203;173;;
SP1;31/10/2007;Ath Madrid;Sevilla;4;3;H;2;2;D;9;11;8;3;22;21;0;8;3;3;0;0;23;33;31;223;316;305;194;182;;
SP1;31/10/2007;Betis;Osasuna;0;3;A;0;1;A;13;13;2;4;20;9;5;3;3;1;1;0;205;33;36;208;316;34;218;161;;
SP1;31/10/2007;Getafe;Ath Bilbao;2;0;H;2;0;H;17;8;6;4;19;16;8;6;2;2;0;1;215;32;35;213;315;328;22;16;;
SP1;31/10/2007;La Coruna;Mallorca;1;1;D;1;1;D;15;8;7;2;14;20;7;1;2;6;0;1;237;325;3;232;315;291;216;163;;
SP1;31/10/2007;Recreativo;Santander;0;0;D;0;0;D;13;10;6;2;23;12;5;9;5;4;0;0;23;32;31;223;314;306;217;161;;
SP1;31/10/2007;Valencia;Real Madrid;1;5;A;0;4;A;9;14;7;7;20;11;9;3;1;1;1;0;26;33;27;253;315;264;187;188;;
SP1;31/10/2007;Villarreal;Levante;3;0;H;3;0;H;20;14;8;4;14;19;10;4;0;3;0;0;125;525;13;126;494;1078;176;2;;
SP1;01/11/2007;Espanol;Murcia;0;0;D;0;0;D;9;4;3;4;22;20;0;0;3;4;0;0;157;38;6;158;352;567;205;17;;
SP1;01/11/2007;Valladolid;Barcelona;1;1;D;1;1;D;13;12;8;2;22;12;4;11;1;0;0;0;7;433;144;68;388;145;163;215;;
SP1;03/11/2007;Mallorca;Valencia;0;2;A;0;1;A;17;8;7;4;10;14;9;2;4;3;0;0;26;325;27;254;315;263;201;173;;
SP1;03/11/2007;Sevilla;Real Madrid;2;0;H;2;0;H;16;5;5;1;26;16;3;6;4;5;0;1;28;325;25;265;317;252;174;202;;
SP1;04/11/2007;Ath Bilbao;Recreativo;2;0;H;0;0;D;14;12;5;2;15;27;2;8;3;4;0;0;2;33;38;197;321;367;221;159;;
SP1;04/11/2007;Ath Madrid;Villarreal;3;4;A;2;2;D;13;9;6;4;18;21;7;4;5;1;0;0;205;33;36;203;322;348;194;181;;
SP1;04/11/2007;Barcelona;Betis;3;0;H;1;0;H;19;6;7;2;6;23;6;4;0;3;0;0;12;6;15;121;554;124;159;222;;
SP1;04/11/2007;Levante;Almeria;3;0;H;3;0;H;11;21;5;6;14;17;6;11;2;1;0;0;262;325;262;264;315;254;213;164;;
SP1;04/11/2007;Murcia;La Coruna;0;2;A;0;0;D;12;12;5;3;12;16;5;7;0;2;0;0;225;32;325;221;318;31;219;16;;
SP1;04/11/2007;Osasuna;Getafe;0;2;A;0;0;D;11;14;4;4;19;13;5;5;5;1;1;0;195;33;4;195;321;376;206;169;;
SP1;04/11/2007;Santander;Espanol;1;1;D;0;0;D;18;9;6;4;25;18;5;1;3;1;0;1;24;325;29;237;315;286;211;167;;
SP1;04/11/2007;Zaragoza;Valladolid;2;3;A;1;3;A;15;13;7;6;16;21;1;9;4;5;0;0;157;36;65;157;348;601;19;184;;
SP1;10/11/2007;Getafe;Barcelona;2;0;H;1;0;H;13;10;5;2;19;13;3;4;2;4;0;1;6;375;157;582;352;157;168;205;;
SP1;10/11/2007;Valencia;Murcia;3;0;H;2;0;H;13;13;5;2;26;21;5;5;4;4;0;0;144;42;75;144;383;724;179;195;;
SP1;11/11/2007;Almeria;Ath Madrid;0;0;D;0;0;D;12;13;7;1;25;13;8;6;4;3;0;0;375;33;2;359;321;2;195;179;;
SP1;11/11/2007;Betis;Zaragoza;2;1;H;0;1;A;15;8;5;3;21;18;5;3;2;2;0;0;262;33;262;265;314;254;198;176;;
SP1;11/11/2007;Espanol;Ath Bilbao;2;1;H;1;1;D;14;6;5;1;19;27;9;3;4;2;1;0;175;34;5;175;327;462;2;176;;
SP1;11/11/2007;La Coruna;Santander;0;1;A;0;0;D;21;6;5;3;9;15;10;3;0;3;1;0;23;33;31;221;315;313;216;162;;
SP1;11/11/2007;Real Madrid;Mallorca;4;3;H;2;2;D;15;9;5;4;19;12;2;5;2;1;0;0;133;5;9;132;446;881;161;218;;
SP1;11/11/2007;Recreativo;Osasuna;1;0;H;0;0;D;9;10;4;3;25;18;4;6;5;4;1;0;237;33;3;23;315;296;211;165;;
SP1;11/11/2007;Valladolid;Levante;1;0;H;0;0;D;13;8;6;1;11;15;8;8;2;1;0;0;172;35;5;168;34;498;187;187;;
SP1;11/11/2007;Villarreal;Sevilla;3;2;H;1;1;D;13;7;7;3;19;28;5;3;3;5;0;1;23;33;31;227;318;299;182;193;;
SP1;24/11/2007;Barcelona;Recreativo;3;0;H;0;0;D;19;4;7;0;13;13;13;2;2;4;0;0;116;7;15;117;618;1392;16;218;;
SP1;24/11/2007;Murcia;Real Madrid;1;1;D;0;1;A;15;7;3;2;26;16;4;1;6;2;0;1;6;36;161;606;354;156;179;194;;
SP1;24/11/2007;Sevilla;Mallorca;1;2;A;0;2;A;12;6;5;3;30;22;8;1;3;4;0;1;161;35;625;159;346;577;169;205;;
SP1;25/11/2007;Ath Bilbao;La Coruna;2;2;D;1;0;H;11;7;3;2;24;23;4;2;3;5;0;0;215;33;34;209;317;336;222;158;;
SP1;25/11/2007;Ath Madrid;Valladolid;4;3;H;1;1;D;16;11;10;5;14;21;6;7;3;4;1;0;153;38;65;152;365;636;176;199;;
SP1;25/11/2007;Levante;Betis;4;3;H;2;2;D;17;7;8;6;13;20;3;5;1;2;0;1;265;32;265;261;31;26;213;163;;
SP1;25/11/2007;Osasuna;Espanol;1;2;A;0;2;A;12;13;4;6;16;15;6;1;1;3;0;0;245;325;287;239;313;284;205;17;;
SP1;25/11/2007;Santander;Valencia;1;0;H;0;0;D;11;5;6;3;15;20;2;8;3;2;0;0;3;32;24;287;311;239;216;161;;
SP1;25/11/2007;Villarreal;Almeria;1;1;D;1;0;H;9;7;3;2;25;25;7;3;5;4;0;0;14;45;8;138;419;782;174;199;;
SP1;25/11/2007;Zaragoza;Getafe;1;1;D;0;0;D;15;19;2;9;19;19;8;7;3;1;0;0;195;33;4;191;322;391;188;185;;
SP1;01/12/2007;Almeria;Sevilla;1;0;H;0;0;D;10;16;3;4;26;18;10;12;6;2;0;1;375;325;205;351;317;203;191;183;;
SP1;01/12/2007;Espanol;Barcelona;1;1;D;0;1;A;12;16;2;7;17;16;4;7;2;1;0;0;38;33;2;352;32;202;18;193;;
SP1;01/12/2007;Real Madrid;Santander;3;1;H;2;0;H;13;11;5;4;18;18;6;11;2;3;0;0;133;475;10;132;453;883;168;204;;
SP1;02/12/2007;Betis;Ath Madrid;0;2;A;0;1;A;6;17;2;4;24;23;5;0;5;4;0;0;325;33;22;314;316;218;192;181;;
SP1;02/12/2007;Getafe;Levante;2;1;H;0;1;A;23;8;4;4;16;18;12;2;4;5;0;0;153;375;7;151;362;655;193;181;;
SP1;02/12/2007;La Coruna;Osasuna;1;2;A;0;0;D;16;11;6;5;22;16;4;5;0;2;0;0;22;325;33;219;316;312;211;164;;
SP1;02/12/2007;Mallorca;Murcia;1;1;D;0;1;A;11;7;3;3;13;20;6;7;1;6;0;0;166;35;55;166;336;523;198;174;;
SP1;02/12/2007;Recreativo;Zaragoza;2;1;H;2;1;H;11;13;5;4;23;17;3;9;2;3;0;0;25;325;28;246;314;272;201;173;;
SP1;02/12/2007;Valencia;Ath Bilbao;0;3;A;0;1;A;14;12;1;4;19;18;7;3;3;4;0;0;161;36;6;157;347;588;193;18;;
SP1;02/12/2007;Valladolid;Villarreal;2;0;H;1;0;H;8;6;4;2;16;10;4;5;1;2;0;0;31;33;23;3;317;225;182;192;;
SP1;05/12/2007;Osasuna;Sevilla;1;1;D;1;0;H;10;14;3;5;21;14;7;6;3;2;0;0;29;33;237;284;319;236;195;179;;
SP1;08/12/2007;Ath Bilbao;Real Madrid;0;1;A;0;0;D;18;15;4;5;14;21;5;0;2;2;0;0;4;34;19;41;326;185;184;19;;
SP1;08/12/2007;Osasuna;Valencia;0;0;D;0;0;D;17;7;5;3;21;17;1;4;3;2;0;0;28;325;25;272;313;248;21;166;;
SP1;09/12/2007;Almeria;Valladolid;1;0;H;0;0;D;13;15;3;4;23;19;3;7;3;2;0;1;24;33;3;226;317;3;203;172;;
SP1;09/12/2007;Ath Madrid;Getafe;1;0;H;1;0;H;7;13;3;4;21;22;3;12;3;5;2;2;172;36;475;168;339;489;182;194;;
SP1;09/12/2007;Barcelona;La Coruna;2;1;H;1;1;D;20;9;12;5;18;20;10;0;1;3;0;0;12;6;15;121;542;1246;159;221;;
SP1;09/12/2007;Levante;Recreativo;0;2;A;0;1;A;13;10;4;5;14;25;3;6;0;1;0;0;24;33;287;24;314;279;21;166;;
SP1;09/12/2007;Santander;Mallorca;3;1;H;2;1;H;11;9;5;3;19;15;7;3;4;2;1;1;23;33;31;22;316;311;212;164;;
SP1;09/12/2007;Sevilla;Murcia;3;1;H;1;0;H;17;12;7;1;26;25;9;7;2;3;0;0;144;42;75;145;383;702;184;191;;
SP1;09/12/2007;Villarreal;Betis;0;1;A;0;1;A;19;2;8;1;11;26;6;1;2;2;0;0;153;4;6;149;373;654;187;188;;
SP1;09/12/2007;Zaragoza;Espanol;3;3;D;1;3;A;23;9;6;4;20;26;10;1;4;3;1;0;23;33;31;229;317;294;188;187;;
SP1;15/12/2007;Espanol;Levante;1;0;H;1;0;H;15;7;8;1;19;22;6;0;1;4;0;0;136;45;9;136;429;827;185;189;;
SP1;15/12/2007;Valencia;Barcelona;0;3;A;0;2;A;11;16;2;11;18;15;3;6;3;1;0;0;35;33;21;344;322;204;189;185;;
SP1;16/12/2007;Betis;Almeria;3;1;H;1;1;D;14;5;4;4;17;10;3;1;3;0;0;2;205;33;36;204;318;346;21;165;;
SP1;16/12/2007;Getafe;Villarreal;1;3;A;0;1;A;8;13;4;7;11;8;4;3;1;3;0;1;25;33;275;249;312;27;203;171;;
SP1;16/12/2007;La Coruna;Zaragoza;1;1;D;0;1;A;13;8;1;1;10;16;5;4;0;3;1;0;24;33;29;24;314;282;197;178;;
SP1;16/12/2007;Mallorca;Ath Bilbao;0;0;D;0;0;D;18;12;5;4;13;16;8;5;1;5;1;0;205;33;36;2;321;356;204;17;;
SP1;16/12/2007;Murcia;Santander;2;1;H;0;0;D;12;9;4;3;16;16;9;6;3;3;0;0;25;325;28;246;309;277;219;16;;
SP1;16/12/2007;Real Madrid;Osasuna;2;0;H;1;0;H;16;11;5;4;24;13;3;6;2;0;0;0;128;525;11;129;47;945;164;213;;
SP1;16/12/2007;Recreativo;Ath Madrid;0;0;D;0;0;D;11;15;3;6;18;20;9;5;3;4;0;0;29;33;24;297;315;228;2;172;;
SP1;16/12/2007;Valladolid;Sevilla;0;0;D;0;0;D;13;8;4;2;17;16;8;3;3;2;0;2;29;33;24;283;316;237;187;187;;
SP1;22/12/2007;Almeria;Getafe;0;2;A;0;1;A;6;7;2;3;29;15;2;2;4;3;1;0;24;33;29;234;313;29;214;162;;
SP1;22/12/2007;Sevilla;Santander;4;1;H;1;0;H;17;8;7;6;17;19;5;4;4;3;0;1;161;36;575;162;344;547;191;183;;
SP1;22/12/2007;Zaragoza;Valencia;2;2;D;2;0;H;10;14;4;6;21;27;1;6;4;5;0;0;21;33;35;212;317;325;201;172;;
SP1;23/12/2007;Ath Bilbao;Murcia;1;1;D;1;0;H;14;19;4;4;20;21;4;3;4;3;1;0;195;33;4;193;321;372;193;18;;
SP1;23/12/2007;Ath Madrid;Espanol;1;2;A;1;0;H;8;18;4;5;16;17;2;6;1;2;2;0;195;33;4;188;322;398;212;164;;
SP1;23/12/2007;Barcelona;Real Madrid;0;1;A;0;1;A;16;11;6;5;19;23;7;0;2;1;0;0;2;34;37;202;32;356;171;203;;
SP1;23/12/2007;Levante;La Coruna;0;1;A;0;0;D;10;13;4;3;19;10;7;9;0;2;0;0;28;325;25;274;313;245;209;166;;
SP1;23/12/2007;Osasuna;Mallorca;3;1;H;1;0;H;11;11;5;2;25;18;3;3;4;5;0;0;22;33;325;214;315;324;204;17;;
SP1;23/12/2007;Valladolid;Betis;0;0;D;0;0;D;8;6;2;3;16;27;9;4;3;5;0;0;22;33;325;211;316;33;209;166;;
SP1;23/12/2007;Villarreal;Recreativo;1;1;D;1;1;D;16;8;7;4;18;19;7;6;3;3;0;0;153;38;65;153;356;628;193;18;;
SP1;05/01/2008;Espanol;Villarreal;3;0;H;3;0;H;13;10;7;2;18;18;5;3;1;2;0;0;23;33;31;222;318;311;196;174;;
SP1;05/01/2008;Mallorca;Barcelona;0;2;A;0;0;D;10;15;2;4;16;12;2;5;1;3;0;0;475;35;175;47;336;174;174;2;;
SP1;06/01/2008;Getafe;Valladolid;0;3;A;0;0;D;11;13;5;4;11;18;8;7;2;1;0;0;195;34;39;191;323;38;208;167;;
SP1;06/01/2008;La Coruna;Ath Madrid;0;3;A;0;1;A;10;9;4;4;17;27;3;3;2;1;0;0;287;33;24;303;316;228;209;166;;
SP1;06/01/2008;Murcia;Osasuna;2;0;H;0;0;D;12;12;6;2;22;14;7;4;2;1;0;0;24;33;287;235;313;292;218;161;;
SP1;06/01/2008;Real Madrid;Zaragoza;2;0;H;0;0;D;14;24;3;11;18;18;5;4;2;2;0;0;133;475;10;132;453;927;162;217;;
SP1;06/01/2008;Recreativo;Almeria;1;1;D;1;1;D;18;11;9;4;11;24;10;4;2;4;0;0;215;33;34;208;318;336;217;161;;
SP1;06/01/2008;Santander;Ath Bilbao;1;0;H;1;0;H;12;10;2;3;13;20;3;5;1;2;0;0;205;325;375;198;321;359;215;163;;
SP1;06/01/2008;Sevilla;Betis;3;0;H;2;0;H;20;4;10;1;18;20;6;6;2;4;0;0;161;34;65;158;341;619;19;185;;
SP1;06/01/2008;Valencia;Levante;0;0;D;0;0;D;15;8;7;2;17;29;13;5;1;3;1;0;133;475;95;137;419;837;189;186;;
SP1;12/01/2008;Ath Bilbao;Sevilla;2;0;H;1;0;H;13;9;6;1;18;13;4;4;1;1;0;1;3;325;235;294;315;232;202;172;;
SP1;12/01/2008;Barcelona;Murcia;4;0;H;1;0;H;18;9;10;3;13;9;4;5;3;1;0;0;118;6;19;118;601;1393;157;226;;
SP1;13/01/2008;Almeria;Espanol;1;0;H;0;0;D;17;8;4;2;24;18;10;6;3;4;0;0;32;325;225;314;319;219;205;169;;
SP1;13/01/2008;Ath Madrid;Valencia;1;0;H;1;0;H;16;12;7;8;19;15;4;5;4;2;0;0;2;33;375;195;324;375;199;174;;
SP1;13/01/2008;Betis;Getafe;3;2;H;2;0;H;8;23;3;10;33;17;3;8;2;3;0;0;235;325;3;226;318;301;211;165;;
SP1;13/01/2008;Levante;Real Madrid;0;2;A;0;0;D;15;15;1;7;17;15;8;1;1;0;0;0;9;5;133;838;436;135;168;207;;
