date;club;country;elo
15/03/2015;Leganes;ESP;152685
15/03/2015;Levante;ESP;168177
15/03/2015;Llagostera;ESP;153333
15/03/2015;Lugo;ESP;154196
15/03/2015;Malaga;ESP;175004
15/03/2015;Mallorca;ESP;155474
15/03/2015;Mirandes;ESP;151746
15/03/2015;Numancia;ESP;157077
15/03/2015;Osasuna;ESP;154778
15/03/2015;Ponferradina;ESP;157332
15/03/2015;Real Madrid;ESP;205014
15/03/2015;Recreativo;ESP;148714
15/03/2015;Sabadell;ESP;148145
15/03/2015;Santander;ESP;150314
15/03/2015;Sevilla;ESP;185145
15/03/2015;Sociedad;ESP;174382
15/03/2015;Sp Gijon;ESP;165574
15/03/2015;Tenerife;ESP;152308
15/03/2015;Valencia;ESP;186599
15/03/2015;Valladolid;ESP;167591
15/03/2015;Vallecano;ESP;168361
15/03/2015;Villarreal;ESP;182124
15/03/2015;Zaragoza;ESP;157371
01/04/2015;Alaves;ESP;155640
01/04/2015;Albacete;ESP;151841
01/04/2015;Alcorcon;ESP;156939
01/04/2015;Almeria;ESP;164856
01/04/2015;Ath Bilbao;ESP;177506
01/04/2015;Ath Madrid;ESP;195404
01/04/2015;Barcelona;ESP;204101
01/04/2015;Barcelona B;ESP;150596
01/04/2015;Betis;ESP;168202
01/04/2015;Celta;ESP;173387
01/04/2015;Cordoba;ESP;157749
01/04/2015;Eibar;ESP;163539
01/04/2015;Elche;ESP;165122
01/04/2015;Espanol;ESP;170891
01/04/2015;Getafe;ESP;167788
01/04/2015;Girona;ESP;161637
01/04/2015;Granada;ESP;163370
01/04/2015;La Coruna;ESP;163840
01/04/2015;Las Palmas;ESP;162195
01/04/2015;Leganes;ESP;154594
01/04/2015;Levante;ESP;167190
01/04/2015;Llagostera;ESP;155097
01/04/2015;Lugo;ESP;154271
01/04/2015;Malaga;ESP;174701
01/04/2015;Mallorca;ESP;154511
01/04/2015;Mirandes;ESP;151887
01/04/2015;Numancia;ESP;158283
01/04/2015;Osasuna;ESP;153236
01/04/2015;Ponferradina;ESP;157179
01/04/2015;Real Madrid;ESP;204567
01/04/2015;Recreativo;ESP;148828
01/04/2015;Sabadell;ESP;148671
01/04/2015;Santander;ESP;148976
01/04/2015;Sevilla;ESP;187166
01/04/2015;Sociedad;ESP;175702
01/04/2015;Sp Gijon;ESP;164905
01/04/2015;Tenerife;ESP;153183
01/04/2015;Valencia;ESP;187691
01/04/2015;Valladolid;ESP;165019
01/04/2015;Vallecano;ESP;169164
01/04/2015;Villarreal;ESP;180390
01/04/2015;Zaragoza;ESP;158334
15/04/2015;Alaves;ESP;157235
15/04/2015;Albacete;ESP;151912
15/04/2015;Alcorcon;ESP;156106
15/04/2015;Almeria;ESP;164150
15/04/2015;Ath Bilbao;ESP;176310
15/04/2015;Ath Madrid;ESP;195662
15/04/2015;Barcelona;ESP;204297
15/04/2015;Barcelona B;ESP;150620
15/04/2015;Betis;ESP;169277
15/04/2015;Celta;ESP;174201
15/04/2015;Cordoba;ESP;156600
15/04/2015;Eibar;ESP;163480
15/04/2015;Elche;ESP;165766
15/04/2015;Espanol;ESP;173431
15/04/2015;Getafe;ESP;169296
15/04/2015;Girona;ESP;161434
15/04/2015;Granada;ESP;162153
15/04/2015;La Coruna;ESP;163474
15/04/2015;Las Palmas;ESP;162230
15/04/2015;Leganes;ESP;155684
15/04/2015;Levante;ESP;167878
15/04/2015;Llagostera;ESP;156096
15/04/2015;Lugo;ESP;154719
15/04/2015;Malaga;ESP;173967
15/04/2015;Mallorca;ESP;152147
15/04/2015;Mirandes;ESP;151214
15/04/2015;Numancia;ESP;157130
15/04/2015;Osasuna;ESP;152604
15/04/2015;Ponferradina;ESP;157721
15/04/2015;Real Madrid;ESP;205188
15/04/2015;Recreativo;ESP;149241
15/04/2015;Sabadell;ESP;149761
15/04/2015;Santander;ESP;148890
15/04/2015;Sevilla;ESP;188487
15/04/2015;Sociedad;ESP;175038
15/04/2015;Sp Gijon;ESP;164386
15/04/2015;Tenerife;ESP;152562
15/04/2015;Valencia;ESP;187636
15/04/2015;Valladolid;ESP;164685
15/04/2015;Vallecano;ESP;168539
15/04/2015;Villarreal;ESP;178570
15/04/2015;Zaragoza;ESP;158372
01/05/2015;Alaves;ESP;156503
01/05/2015;Albacete;ESP;152469
01/05/2015;Alcorcon;ESP;156357
01/05/2015;Almeria;ESP;164608
01/05/2015;Ath Bilbao;ESP;177830
01/05/2015;Ath Madrid;ESP;196500
01/05/2015;Barcelona;ESP;206327
01/05/2015;Barcelona B;ESP;151369
01/05/2015;Betis;ESP;171097
01/05/2015;Celta;ESP;175522
01/05/2015;Cordoba;ESP;156818
01/05/2015;Eibar;ESP;161761
01/05/2015;Elche;ESP;167839
01/05/2015;Espanol;ESP;174253
01/05/2015;Getafe;ESP;167531
01/05/2015;Girona;ESP;163508
01/05/2015;Granada;ESP;161922
01/05/2015;La Coruna;ESP;162993
01/05/2015;Las Palmas;ESP;161573
01/05/2015;Leganes;ESP;155289
01/05/2015;Levante;ESP;169626
01/05/2015;Llagostera;ESP;156646
01/05/2015;Lugo;ESP;154191
01/05/2015;Malaga;ESP;173123
01/05/2015;Mallorca;ESP;153496
01/05/2015;Mirandes;ESP;152837
01/05/2015;Numancia;ESP;157383
01/05/2015;Osasuna;ESP;153136
01/05/2015;Ponferradina;ESP;157829
01/05/2015;Real Madrid;ESP;206986
01/05/2015;Recreativo;ESP;147684
01/05/2015;Sabadell;ESP;151338
01/05/2015;Santander;ESP;149451
01/05/2015;Sevilla;ESP;189947
01/05/2015;Sociedad;ESP;174804
01/05/2015;Sp Gijon;ESP;165236
01/05/2015;Tenerife;ESP;152223
01/05/2015;Valencia;ESP;187739
01/05/2015;Valladolid;ESP;164663
01/05/2015;Vallecano;ESP;169594
01/05/2015;Villarreal;ESP;177828
01/05/2015;Zaragoza;ESP;158639
15/05/2015;Alaves;ESP;156714
15/05/2015;Albacete;ESP;152506
15/05/2015;Alcorcon;ESP;158006
15/05/2015;Almeria;ESP;163981
15/05/2015;Ath Bilbao;ESP;178031
15/05/2015;Ath Madrid;ESP;195490
15/05/2015;Barcelona;ESP;208009
15/05/2015;Barcelona B;ESP;150005
15/05/2015;Betis;ESP;171219
15/05/2015;Celta;ESP;175778
15/05/2015;Cordoba;ESP;156000
15/05/2015;Eibar;ESP;160643
15/05/2015;Elche;ESP;168726
15/05/2015;Espanol;ESP;175051
15/05/2015;Getafe;ESP;165782
15/05/2015;Girona;ESP;165256
15/05/2015;Granada;ESP;163892
15/05/2015;La Coruna;ESP;163907
15/05/2015;Las Palmas;ESP;161455
15/05/2015;Leganes;ESP;155650
15/05/2015;Levante;ESP;169427
15/05/2015;Llagostera;ESP;157154
15/05/2015;Lugo;ESP;153773
15/05/2015;Malaga;ESP;172930
15/05/2015;Mallorca;ESP;152723
15/05/2015;Mirandes;ESP;152559
15/05/2015;Numancia;ESP;158309
15/05/2015;Osasuna;ESP;153525
15/05/2015;Ponferradina;ESP;157103
15/05/2015;Real Madrid;ESP;205292
15/05/2015;Recreativo;ESP;146356
15/05/2015;Sabadell;ESP;150077
15/05/2015;Santander;ESP;149647
15/05/2015;Sevilla;ESP;190461
15/05/2015;Sociedad;ESP;175621
15/05/2015;Sp Gijon;ESP;166474
15/05/2015;Tenerife;ESP;151482
15/05/2015;Valencia;ESP;188774
15/05/2015;Valladolid;ESP;166349
15/05/2015;Vallecano;ESP;170811
15/05/2015;Villarreal;ESP;178211
15/05/2015;Zaragoza;ESP;159656
01/06/2015;Alaves;ESP;154012
01/06/2015;Albacete;ESP;153962
01/06/2015;Alcorcon;ESP;157343
01/06/2015;Almeria;ESP;163518
01/06/2015;Ath Bilbao;ESP;180166
01/06/2015;Ath Madrid;ESP;194338
01/06/2015;Barcelona;ESP;207890
01/06/2015;Barcelona B;ESP;148462
01/06/2015;Betis;ESP;171405
01/06/2015;Celta;ESP;177000
01/06/2015;Cordoba;ESP;154579
01/06/2015;Eibar;ESP;161972
01/06/2015;Elche;ESP;168247
01/06/2015;Espanol;ESP;174020
01/06/2015;Getafe;ESP;165359
01/06/2015;Girona;ESP;167466
01/06/2015;Granada;ESP;166787
